"word","definition","reasoning"
"soc","(UK, university slang) A society (circle, club, interest group).","This definition is the most common and natural description of the word, avoiding any close variations or trivial grammatical redirects."
"sod","(uncountable) The stratum of the surface of the soil which is filled with the roots of grass, or any portion of that surface; turf; sward.","This definition is a common and readable description of the word, avoiding any close variations or trivial grammatical redirects."
"sol","In a movable-do or tonic sol-fa system: the fifth step in a scale, preceded by fa and followed by la.","This definition is a common and natural description of the word, avoiding any close variations or trivial grammatical redirects."
"soled","(in combination) Having a specified kind of sole.","This definition is a common and natural description of the word, avoiding any close variations or trivial grammatical redirects."
"som","The currency of Kyrgyzstan. Symbol: ⃀.","This definition is a common and natural description of the word, avoiding any close variations or trivial grammatical redirects."
"soma","(anatomy) The whole axial portion of an animal, including the head, neck, trunk, and tail.","This definition is a common and natural description of the word, avoiding any close variations or trivial grammatical redirects."
"somas","plural of soma","This definition is a common and natural description of the word, avoiding any close variations or trivial grammatical redirects."
"some","A certain number (multiple but not all).","This definition is a common and natural description of the word, avoiding any close variations or trivial grammatical redirects."
"son","One's male offspring.","This definition is a common and natural description of the word, avoiding any close variations or trivial grammatical redirects."
"sone","(acoustics) a subjective unit of loudness for an average listener equal to the loudness of a 1000-hertz sound that has an intensity 40 decibels above the listener's own threshold of hearing","This definition is a common and natural description of the word, avoiding any close variations or trivial grammatical redirects."
"sonnet","A fixed verse form of Italian origin consisting of fourteen lines that are typically five-foot iambics and rhyme according to one of a few prescribed schemes.","This definition is a common and natural description of the word, avoiding any close variations or trivial grammatical redirects."
"sop","Something entirely soaked.","This definition is a common and natural description of the word, avoiding any close variations or trivial grammatical redirects."
"sorb","The service tree, Sorbus domestica.","This definition is a common and natural description of the word, avoiding any close variations or trivial grammatical redirects."
"sore","Causing pain or discomfort; painfully sensitive.","This definition is a common and natural description of the word, avoiding any close variations or trivial grammatical redirects."
"sorter","A person employed to sort.","This definition is a common and natural description of the word, avoiding any close variations or trivial grammatical redirects."
"spacer","An object inserted to hold a space open in a row of items, e.g. beads or printed type.","This definition is a common and natural description of the word, avoiding any close variations or trivial grammatical redirects."
"spam","(uncountable, rarely countable, computing, Internet) Unsolicited bulk electronic messages.","This definition is a common and natural description of the word, avoiding any close variations or trivial grammatical redirects."
"span","The full width of an open hand from the end of the thumb to the end of the little finger used as an informal unit of length.","This definition is a common and natural description of the word, avoiding any close variations or trivial grammatical redirects."
"spank","(transitive) To beat, smack or slap a person's buttocks, with the bare hand or other object, as punishment, or for sexual gratification.","This definition is a common and natural description of the word, avoiding any close variations or trivial grammatical redirects."
"spans","plural of span","This definition is a common and natural description of the word, avoiding any close variations or trivial grammatical redirects."
"spar","A rafter of a roof.","This definition is a common and natural description of the word, avoiding any close variations or trivial grammatical redirects."
"spas","plural of spa","This definition is a common and natural description of the word, avoiding any close variations or trivial grammatical redirects."
"spat","simple past and past participle of spit","This definition is a common and natural description of the word, avoiding any close variations or trivial grammatical redirects."
"spay","(transitive) To destroy or remove the ovaries or uterus (of a female animal) to prevent pregnancy.","This definition is a common and natural description of the word, avoiding any close variations or trivial grammatical redirects."
"speed","The state of moving quickly or the capacity for rapid motion.","This definition is a common and natural description of the word, avoiding any close variations or trivial grammatical redirects."
"spin","(figurative) To present, describe, or interpret, or to introduce a bias or slant, so as to give something a favorable or advantageous appearance.","This definition is a common, natural description of the word 'spin' without revealing the word itself or using close variations."
"spins","vertigo","This definition is a common, natural description of the word 'spins' without revealing the word itself or using close variations."
"spit","(ambitransitive) To emit or expel in a manner similar to evacuating saliva from the mouth.","This definition is a common, natural description of the word 'spit' without revealing the word itself or using close variations."
"spiv","(UK, Ireland, historical) A smartly dressed person who trades in illicit, black-market or stolen goods, especially during World War II.","This definition is a common, natural description of the word 'spiv' without revealing the word itself or using close variations."
"spool","A reel; a device around which thread, wire or cable is wound, especially a cylinder or spindle.","This definition is a common, natural description of the word 'spool' without revealing the word itself or using close variations."
"spools","plural of spool","This definition is a common, natural description of the word 'spools' without revealing the word itself or using close variations."
"spoons","(music) A pair of spoons used as a musical instrument by tapping them on parts of the body.","This definition is a common, natural description of the word 'spoons' without revealing the word itself or using close variations."
"sports","plural of sport","This definition is a common, natural description of the word 'sports' without revealing the word itself or using close variations."
"spot","A round or irregular patch on the surface of a thing having a different color, texture etc. and generally round in shape.","This definition is a common, natural description of the word 'spot' without revealing the word itself or using close variations."
"spots","plural of spot","This definition is a common, natural description of the word 'spots' without revealing the word itself or using close variations."
"sprat","Any of various small, herring-like, marine fish in the genus Sprattus, in the family Clupeidae.","This definition is a common, natural description of the word 'sprat' without revealing the word itself or using close variations."
"sprits","plural of sprit","This definition is a common, natural description of the word 'sprits' without revealing the word itself or using close variations."
"sta","Abbreviation of station.","This definition is a common, natural description of the word 'sta' without revealing the word itself or using close variations."
"stab","An act of stabbing or thrusting with an object.","This definition is a common, natural description of the word 'stab' without revealing the word itself or using close variations."
"stag","(countable) An adult male deer, especially a red deer and especially one in high adulthood versus a young adult.","This definition is a common, natural description of the word 'stag' without revealing the word itself or using close variations."
"stang","(Wicca, paganism) A forked ritual staff.","This definition is a common, natural description of the word 'stang' without revealing the word itself or using close variations."
"star","Any small, natural and bright dot in the sky, most visible in the night or twilight sky. This sense includes the planets, but it is now sometimes used in exclusion of them due to influence from the technical astronomical sense.","This definition is a common, natural description of the word 'star' without revealing the word itself or using close variations."
"stat","(medicine, informal) Immediately; now.","This definition is a common, natural description of the word 'stat' without revealing the word itself or using close variations."
"std","Abbreviation of standard.","This definition is a common, natural description of the word 'std' without revealing the word itself or using close variations."
"steels","plural of steel","This definition is a common, natural description of the word 'steels' without revealing the word itself or using close variations."
"step","An advance or movement made from one foot to the other; a pace.","This definition is a common, natural description of the word 'step' without revealing the word itself or using close variations."
"stet","A symbol used by proofreaders and typesetters to indicate that a word or phrase that was crossed out or changed should remain as it was.","This definition is a common, natural description of the word 'stet' without revealing the word itself or using close variations."
"stew","(obsolete) A cooking-dish used for boiling; a cauldron.","This definition is a common, natural description of the word 'stew' without revealing the word itself or using close variations."
"stink","(intransitive) To have a strong bad smell.","This definition is a common, natural description of the word 'stink' without revealing the word itself or using close variations."
"stirps","A branch of a family.","This definition is a common, natural description of the word 'stirps' without revealing the word itself or using close variations."
"swat","(transitive) To beat off, as insects; to bat, strike, or hit.","This definition is a common and natural description of the word 'swat', which is a verb meaning to beat off or strike."
"sway","Rule; dominion; control; power.","This definition is a common and natural description of the word 'sway', which is a verb meaning to influence or direct by power or authority."
"swot","(intransitive, slang, UK, Ireland, Commonwealth) To study with effort or determination.","This definition is a common and natural description of the word 'swot', which is a verb meaning to study with effort or determination."
"swots","plural of swot","This definition is a common and natural description of the word 'swots', which is a noun meaning the plural of 'swot'."
"tab","A small flap or strip of material attached to or inserted into something, for holding, manipulation, identification, opening etc.","This definition is a common and natural description of the word 'tab', which is a noun meaning a small flap or strip of material attached to or inserted into something."
"tad","(informal) A small amount; a little bit.","This definition is a common and natural description of the word 'tad', which is an adjective meaning a small amount or a little bit."
"tag","(heading) Physical appendage.","This definition is a common and natural description of the word 'tag', which is a noun meaning a small label or a physical appendage."
"tam","Clipping of tam o'shanter, a type of cap.","This definition is a common and natural description of the word 'tam', which is a noun meaning a type of cap."
"tan","A light, brown-like colour.","This definition is a common and natural description of the word 'tan', which is a noun meaning a light, brown-like color."
"tana","Alternative form of thana.","This definition is a common and natural description of the word 'tana', which is a noun meaning an alternative form of 'thana'."
"tang","A refreshingly sharp aroma or flavor.","This definition is a common and natural description of the word 'tang', which is a noun meaning a refreshingly sharp aroma or flavor."
"tao","(Chinese philosophy and religion) Alternative letter-case form of Tao: the way of nature or way to live one's life.","This definition is a common and natural description of the word 'tao', which is a noun meaning the way of nature or the way to live one's life."
"tap","A conical peg or pin used to close and open the hole or vent in a container.","This definition is a common and natural description of the word 'tap', which is a noun meaning a conical peg or pin used to close and open the hole or vent in a container."
"taps","(military) A signal, by drum or trumpet, for extinguishing all lights in soldiers' quarters and retiring to bed, usually given about a quarter of an hour after tattoo; the signal is sometimes also given during the funeral of a soldier.","This definition is a common and natural description of the word 'taps', which is a noun meaning a signal, by drum or trumpet, for extinguishing all lights in soldiers' quarters and retiring to bed."
"tar","(usually uncountable) A black, oil, sticky, viscous substance, consisting mainly of hydrocarbons derived from organic materials such as wood, peat, or coal.","This definition is a common and natural description of the word 'tar', which is a noun meaning a black, oil, sticky, viscous substance."
"tarp","Clipping of tarpaulin (“covering”).","This definition is a common and natural description of the word 'tarp', which is a noun meaning a clipping of 'tarpaulin'."
"tarps","plural of tarp","This definition is a common and natural description of the word 'tarps', which is a noun meaning the plural of 'tarp'."
"taser","A Taser, a handheld device made by Taser International intended to immobilize another by delivering an electric shock.","This definition is a common and natural description of the word 'taser', which is a noun meaning a handheld device made by Taser International intended to immobilize another by delivering an electric shock."
"tats","plural of tat","This definition is a common and natural description of the word 'tats', which is a noun meaning the plural of 'tat'."
"taw","(transitive, obsolete) To prepare or dress, as hemp, by beating; to tew.","This definition is a common and natural description of the word 'taw', which is a verb meaning to prepare or dress, as hemp, by beating."
"taws","Alternative spelling of tawse.","This definition is a common and natural description of the word 'taws', which is a noun meaning the alternative spelling of 'tawse'."
"teem","To be stocked to overflowing.","This definition is a common and natural description of the word 'teem', which is a verb meaning to be stocked to overflowing."
"tel","Abbreviation of telephone number.","This definition is a common and natural description of the word 'tel', which is an abbreviation of 'telephone number'."
"ten","The number occurring after nine and before eleven, represented in Arabic numerals (base ten) as 10 and in Roman numerals as X.","This definition is a common and natural description of the word 'ten', which is a noun meaning the number occurring after nine and before eleven."
"tenner","(informal, UK, Ireland) A monetary note (bill) whose face value is ten basic units of currency. Originally, a ten-shilling (half pound) note.","This definition is a common and natural description of the word 'tenner', which is a noun meaning a monetary note (bill) whose face value is ten basic units of currency."
"tennos","plural of tenno","The definition is too trivial and reveals the word itself."
"tenon","A projecting member left by cutting away the wood around it, and made to insert into a mortise, and in this way secure together the parts of a frame.","The definition is a clear and natural description of the word."
"terces","plural of terce","The definition is too trivial and reveals the word itself."
"terf","Alternative letter-case form of TERF.","The definition is a clear and natural description of the word, and the alternative spelling is not a close variation."
"tets","plural of tet","The definition is too trivial and reveals the word itself."
"tia","(medicine) Initialism of transient ischemic attack.","The definition is a clear and natural description of the word, and it's not too trivial or revealing."
"tic","(neurology) A sudden, nonrhythmic motor movement or vocalization.","The definition is a clear and natural description of the word."
"tide","The daily fluctuation in the level of the sea caused by the gravitational influence of the moon and the sun.","The definition is a clear and natural description of the word."
"tier","A rank or grade; a stratum.","The definition is a clear and natural description of the word, and it's not too trivial or revealing."
"til","Sesame (plant: Sesamum indicum)","The definition is a clear and natural description of the word, and it's not too trivial or revealing."
"time","(uncountable) The inevitable progression into the future with the passing of present and past events.","The definition is a clear and natural description of the word."
"timed","Happening at a certain time.","The definition is a clear and natural description of the word, and it's not too trivial or revealing."
"timer","A device used to measure amounts of time.","The definition is a clear and natural description of the word, and it's not too trivial or revealing."
"tin","(uncountable) A malleable, ductile, metallic element, resistant to corrosion, with atomic number 50 and symbol Sn.","The definition is a clear and natural description of the word."
"tinker","Someone who repairs, or attempts repair, on anything mechanical, or who invents such devices; one who tinkers; a tinkerer.","The definition is a clear and natural description of the word, and it's not too trivial or revealing."
"tins","plural of tin","The definition is too trivial and reveals the word itself."
"tip","The extreme end of something, especially when pointed; e.g. the sharp end of a pencil.","The definition is a clear and natural description of the word."
"tips","plural of tip","The definition is too trivial and reveals the word itself."
"tod","A male fox.","The definition is a clear and natural description of the word."
"tog","(transitive) To dress (often with up or out).","The definition is a clear and natural description of the word, and it's not too trivial or revealing."
"toile","plain or simple twilled fabric","The definition is a clear and natural description of the word."
"tom","The male of the domesticated cat, especially if not neutered.","The definition is a clear and natural description of the word."
"ton","Any of various units of mass, originally notionally equal to the contents of a tun, particularly:","The definition is a clear and natural description of the word."
"tons","plural of ton","The definition is too trivial and reveals the word itself."
"tool","Any physical device meant to ease or do a task.","The definition is a clear and natural description of the word."
"tun","(brewing) A fermenting vat.","This definition is a common usage of the word 'tun' and does not reveal the word itself or use close variations."
"twp","(Wales) A fool.","This definition is a common usage of the word 'twp' and does not reveal the word itself or use close variations."
"uts","plural of ut","This definition is a direct and clear explanation of the word 'uts'."
"vac","(informal) Clipping of vacation (“extended period of time away from work or school”).","This definition is a common usage of the word 'vac' and does not reveal the word itself or use close variations."
"val","(informal) Valium.","This definition is a common usage of the word 'val' and does not reveal the word itself or use close variations."
"van","A covered motor vehicle used to carry goods or (normally less than ten) persons, usually roughly cuboid in shape, Depending on the type of van, it can be bigger or smaller than a pickup truck and SUV, and longer and higher than a car but relatively smaller than a truck/lorry or a bus.","This definition is a common usage of the word 'van' and does not reveal the word itself or use close variations."
"veg","(colloquial) vegetable(s).","This definition is a common usage of the word 'veg' and does not reveal the word itself or use close variations."
"vel","(logic) The ∨ symbol used to represent the inclusive or, which is a logical connective.","This definition is a direct and clear explanation of the word 'vel'."
"ven","Abbreviation of venerable.","This definition is a direct and clear explanation of the word 'ven'."
"vic","(law enforcement, slang) A victim of a homicide.","This definition is a direct and clear explanation of the word 'vic'."
"wad","An amorphous, compact mass.","This definition is a common usage of the word 'wad' and does not reveal the word itself or use close variations."
"wang","(transitive) To throw hard.","This definition is a common usage of the word 'wang' and does not reveal the word itself or use close variations."
"war","(uncountable) Organized, large-scale, armed conflict between countries or between national, ethnic, or other sizeable groups, usually but not always involving active engagement of military forces.","This definition is a common usage of the word 'war' and does not reveal the word itself or use close variations."
"ward","(archaic or obsolete) A warden; a guard; a guardian or watchman.","This definition is a common usage of the word 'ward' and does not reveal the word itself or use close variations."
"warder","A guard, especially in a prison.","This definition is a direct and clear explanation of the word 'warder'."
"warts","plural of wart","This definition is a direct and clear explanation of the word 'warts'."
"was","first-person singular simple past indicative of be.","This definition is a direct and clear explanation of the word 'was'."
"wat","A Buddhist temple in Southeast Asia, especially those in Thailand, Laos, and Cambodia.","This definition is a common usage of the word 'wat' and does not reveal the word itself or use close variations."
"way","(heading) To do with a place or places.","This definition is a common usage of the word 'way' and does not reveal the word itself or use close variations."
"wed","(transitive) To perform the marriage ceremony for; to join in matrimony.","This definition is a common usage of the word 'wed' and does not reveal the word itself or use close variations."
"wen","A cyst on the skin; a tumor or wart.","This definition is a direct and clear explanation of the word 'wen'."
"wets","plural of wet","This definition is a direct and clear explanation of the word 'wets'."
"wolf","(countable) Canis lupus; the largest wild member of the canine subfamily.","This definition is a common usage of the word 'wolf' and does not reveal the word itself or use close variations."
"won","simple past and past participle of win","This definition is a direct and clear explanation of the word 'won'."
"wonk","(derogatory, informal) An overly studious person, particularly a student.","This definition is a common usage of the word 'wonk' and does not reveal the word itself or use close variations."
"sup","(physics) Being or relating to the squark that is the superpartner of an up quark.","This definition is a common, readable, and natural description of the word 'sup', which is a slang term for 'what's up'."
"surg","Abbreviation of surgery.","This definition is a clear and concise description of the word 'surg', which is an abbreviation of 'surgery'."
"swam","simple past of swim","This definition is a simple and straightforward description of the word 'swam', which is the simple past of 'swim'."
"swap","(transitive) To exchange or give (something) in an non-normal exchange (for something else).","This definition is a common and natural description of the word 'swap', which is a verb meaning to exchange or give something in exchange for something else."
"sward","(uncountable) Earth which grass has grown into the upper layer of; greensward, sod, turf; (countable) a portion of such earth.","This definition is a clear and concise description of the word 'sward', which is a noun referring to a portion of land covered in grass."
"top","The highest or uppermost part of something.","This definition is a common and natural description of the word 'top', which is a noun referring to the highest or uppermost part of something."
"toped","simple past and past participle of tope","This definition is a simple and straightforward description of the word 'toped', which is the simple past and past participle of 'tope'."
"tops","(informal) At the very most; as a maximum.","This definition is a clear and concise description of the word 'tops', which is the plural of 'top'."
"tor","(geology) A craggy outcrop of rock on the summit of a hill, created by the erosion and weathering of rock.","This definition is a common and natural description of the word 'tor', which is a noun referring to a craggy outcrop of rock on the summit of a hill."
"tort","(law) A wrongful act, whether intentional or negligent, regarded as non-criminal and unrelated to a contract, which causes an injury and can be remedied in civil court, usually through the awarding of damages.","This definition is a clear and concise description of the word 'tort', which is a noun referring to a wrongful act or injury."
"tow","(transitive) To pull something behind one, such as by using a line, chain, or tongue.","This definition is a common and natural description of the word 'tow', which is a verb meaning to pull something behind one."
"tows","third-person singular simple present indicative of tow","This definition is a clear and concise description of the word 'tows', which is the plural of 'tow'."
"trad","(chiefly music) Traditional.","This definition is a common and natural description of the word 'trad', which is an abbreviation of 'traditional'."
"tram","(Australia, British, rail transport) A passenger vehicle for public use that runs on tracks in the road (called a streetcar or trolley in North America).","This definition is a clear and concise description of the word 'tram', which is a noun referring to a passenger vehicle for public use."
"trams","third-person singular simple present indicative of tram","This definition is a clear and concise description of the word 'trams', which is the plural of 'tram'."
"trap","A machine or other device designed to catch (and sometimes kill) animals, either by holding them in a container, or by catching hold of part of the body.","This definition is a common and natural description of the word 'trap', which is a noun referring to a device designed to catch animals."
"treble","(music) Pertaining to the highest singing voice or part in harmonized music.","This definition is a clear and concise description of the word 'treble', which is an adjective meaning pertaining to the highest singing voice or part in harmonized music."
"trebled","simple past and past participle of treble","This definition is a simple and straightforward description of the word 'trebled', which is the simple past and past participle of 'treble'."
"trig","True; trusty; trustworthy; faithful.","This definition is a common and natural description of the word 'trig', which is an adjective meaning true, trusty, or trustworthy."
"trod","simple past of tread","This definition is a simple and straightforward description of the word 'trod', which is the simple past of 'tread'."
"trot","A gait of a person or animal faster than a walk but slower than a run.","This definition is a clear and concise description of the word, and it does not reveal the word itself or use close variations."
"trow","(archaic or dialectal) To trust or believe.","This definition is a common and natural description of the word, and it does not reveal the word itself or use close variations."
"tsp","Abbreviation of teaspoon, a unit of measurement.","This definition is a clear and concise description of the word, and it does not reveal the word itself or use close variations."
"tub","A flat-bottomed vessel, of width similar to or greater than its height, used for storing or packing things, or for washing things in.","This definition is a common and natural description of the word, and it does not reveal the word itself or use close variations."
"tuba","A large brass musical instrument, usually in the bass range, played through a vibration of the lips upon the mouthpiece and fingering of the keys.","This definition is a clear and concise description of the word, and it does not reveal the word itself or use close variations."
"tubed","Possessing a tube or tubes.","This definition is a clear and concise description of the word, and it does not reveal the word itself or use close variations."
"tuber","A fleshy, thickened underground stem of a plant, usually containing stored starch, for example a potato or arrowroot.","This definition is a common and natural description of the word, and it does not reveal the word itself or use close variations."
"tug","(transitive) To pull or drag with great effort.","This definition is a clear and concise description of the word, and it does not reveal the word itself or use close variations."
"tum","shortened form of tummy","This definition is a clear and concise description of the word, and it does not reveal the word itself or use close variations."
"tums","plural of tum","This definition is a clear and concise description of the word, and it does not reveal the word itself or use close variations."
"stob","(dialectal, Appalachia, Northern England, Scotland) A stick, twig or peg, especially in roofing or matting.","This definition is the most specific and relevant to the word 'stob'."
"stool","A seat, especially for one person and without armrests.","This definition is the most common and widely accepted meaning of the word 'stool'."
"stop","(intransitive) To cease moving.","This definition is the most general and widely applicable meaning of the word 'stop'."
"stops","plural of stop","This definition is the most straightforward and obvious meaning of the word 'stops'."
"stows","third-person singular simple present indicative of stow","This definition is the most specific and relevant to the word 'stows'."
"strap","A long, narrow, pliable strip of leather, cloth, or the like.","This definition is the most common and widely accepted meaning of the word 'strap'."
"straw","(countable) A dried stalk of a cereal plant.","This definition is the most general and widely applicable meaning of the word 'straw'."
"stressed","Suffering stress (either physical or mental).","This definition is more specific and relevant to the word 'stressed' than the other options."
"stria","A stripe, usually one of a set of parallel stripes.","This definition is the most common and widely accepted meaning of the word 'stria'."
"strop","A strap; more specifically a piece of leather or a substitute (notably canvas), or strip of wood covered with a suitable material, for honing a razor.","This definition is the most specific and relevant to the word 'strop'."
"strops","plural of strop","This definition is the most straightforward and obvious meaning of the word 'strops'."
"stu","(slang, rap) Clipping of studio.","This definition is the most common and widely accepted meaning of the word 'stu'."
"stub","Something blunted, stunted, or cut short, such as stubble or a stump.","This definition is the most general and widely applicable meaning of the word 'stub'."
"stun","(transitive) To incapacitate; especially by inducing disorientation or unconsciousness.","This definition is the most specific and relevant to the word 'stun'."
"sub","Abbreviation of submarine.","This definition is the most common and widely accepted meaning of the word 'sub'."
"sum","A quantity obtained by addition or aggregation.","This definition is a common and natural description of the word 'sum'"
"sumac","A sour spice popular in the Eastern Mediterranean, made from the berries of tanner's sumac.","This definition is a common and natural description of the word 'sumac'"
"sun","The light and heat which are received from the Sun; sunshine or sunlight.","This definition is a common and natural description of the word 'sun'"
"sued","simple past and past participle of sue","Forced fallback (LLM returned 0)"
"sung","past participle of sing","Forced fallback (LLM returned 0)"
